ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Meta: _wpcom_is_markdown
8800,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age5/6,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,1,Size,Age5/6,,1,1
8801,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age7/8,1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,2,Size,Age7/8,,1,1
8802,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age9/10(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,3,Size,Age9/10(+£2.00),,1,1
8803,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age11/12(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,4,Size,Age11/12(+£2.00),,1,1
8804,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age12/13(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,5,Size,Age12/13(+£2.00),,1,1
8805,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Age13(+£2.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,6,Size,Age13(+£2.00),,1,1
8806,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - SmallAdult(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,7,Size,SmallAdult(+£4.00),,1,1
8807,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Medium(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,8,Size,Medium(+£4.00),,1,1
8808,variation,,Dwight Navy Long Sleeve Polo Shirt (with Logo) - Large(+£4.00),1,0,visible,,,,,taxable,parent,1,50,0,0,,,,,0,,,18.95,,,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,DW008,,,,,,9,Size,Large(+£4.00),,1,1
8809,variable,DW008,Dwight Navy Long Sleeve Polo Shirt (with Logo),1,0,visible,,,,,taxable,,1,50,0,0,.5,24,1,2,1,,,18.95,"Schoolwear,Schoolwear > ,Specialist Schoolwear,Secondary Schools,Dwight School London",,,https://www.braggsschoolwear.co.uk/image/cache/catalog/46-500x500.jpg,,,,,,,,,0,Size,"Age5/6,Age7/8,Age9/10(+£2.00),Age11/12(+£2.00),Age12/13(+£2.00),Age13(+£2.00),SmallAdult(+£4.00),Medium(+£4.00),Large(+£4.00)",1,1,1
